comune_istat_val;comune_cat_val;comune_amm_val;comune_descrizione_val;fascia_val;zona_val;linkzona;cod_tip;descr_tipologia;stato;stato_prev_val;compr_min;compr_max;loc_min;loc_max;sup_nl_loc;semestre;comune_istat_zone;comune_cat_zone;comune_amm_zone;comune_descrizione_zone;fascia_zone;zona_descr;zona_zone;cod_tip_prev;descr_tip_prev;stato_prev_zone;microzona
5023091;D6AA;L781;VERONA;D;D8;VR00001299;20;Abitazioni civili;NORMALE;P;1250;1650;5.5;7.5;L;2023_2;5023091;D6AA;L781;VERONA;D;'B.GO ROMA. TOMBA. TOMBETTA. CRISTO LAVORATORE. PRIMO MAGGIO. PALAZZINA';D8;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;D;D8;VR00001299;21;Abitazioni di tipo economico;NORMALE;P;1050;1450;4.5;6;L;2023_2;5023091;D6AA;L781;VERONA;D;'B.GO ROMA. TOMBA. TOMBETTA. CRISTO LAVORATORE. PRIMO MAGGIO. PALAZZINA';D8;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;D;D8;VR00001299;13;Box;NORMALE;P;500;700;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'B.GO ROMA. TOMBA. TOMBETTA. CRISTO LAVORATORE. PRIMO MAGGIO. PALAZZINA';D8;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;D;D8;VR00001299;1;Ville e Villini;NORMALE;P;1500;2150;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'B.GO ROMA. TOMBA. TOMBETTA. CRISTO LAVORATORE. PRIMO MAGGIO. PALAZZINA';D8;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;D;D8;VR00001299;5;Negozi;NORMALE;P;1050;1700;7;11.5;L;2023_2;5023091;D6AA;L781;VERONA;D;'B.GO ROMA. TOMBA. TOMBETTA. CRISTO LAVORATORE. PRIMO MAGGIO. PALAZZINA';D8;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;D;D8;VR00001299;6;Uffici;NORMALE;P;1100;1500;7;10;L;2023_2;5023091;D6AA;L781;VERONA;D;'B.GO ROMA. TOMBA. TOMBETTA. CRISTO LAVORATORE. PRIMO MAGGIO. PALAZZINA';D8;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;E;E1;VR00000476;20;Abitazioni civili;NORMALE;P;1300;1750;6;7.5;L;2023_2;5023091;D6AA;L781;VERONA;E;'POIANO. QUINTO. MONTORIO. VALPANTENA E VAL SQUARANTO';E1;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;E;E1;VR00000476;13;Box;NORMALE;P;600;900;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;E;'POIANO. QUINTO. MONTORIO. VALPANTENA E VAL SQUARANTO';E1;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;E;E1;VR00000476;1;Ville e Villini;NORMALE;P;1550;2300;nan;nan; ;2023_2;5023091;D6AA;L781;VERONA;E;'POIANO. QUINTO. MONTORIO. VALPANTENA E VAL SQUARANTO';E1;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;E;E2;VR00000479;20;Abitazioni civili;NORMALE;P;1250;1650;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;E;'BASSONA E COMPARTI EDIFICATI LIMITROFI';E2;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;E;E2;VR00000479;1;Ville e Villini;NORMALE;P;1400;2000;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;E;'BASSONA E COMPARTI EDIFICATI LIMITROFI';E2;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;E;E3;VR00000481;20;Abitazioni civili;NORMALE;P;1350;1750;5.5;7;L;2023_2;5023091;D6AA;L781;VERONA;E;'SACRA FAMIGLIA. CA` DI DAVID';E3;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;E;E3;VR00000481;13;Box;NORMALE;P;400;600;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;E;'SACRA FAMIGLIA. CA` DI DAVID';E3;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;E;E3;VR00000481;1;Ville e Villini;NORMALE;P;1250;1800;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;E;'SACRA FAMIGLIA. CA` DI DAVID';E3;20;Abitazioni civili;N;5.0
5023001;D6AB;A061;AFFI;B;B1;VR00000396;20;Abitazioni civili;NORMALE;P;1400;2050;nan;nan;nan;2023_2;5023001;D6AB;A061;AFFI;B;'CAPOLUOGO. FRAZIONI E COMPARTO LIMITROFO EDIFICATO';B1;20;Abitazioni civili;N;2.0
5023001;D6AB;A061;AFFI;B;B1;VR00000396;1;Ville e Villini;NORMALE;P;1950;2900;nan;nan;nan;2023_2;5023001;D6AB;A061;AFFI;B;'CAPOLUOGO. FRAZIONI E COMPARTO LIMITROFO EDIFICATO';B1;20;Abitazioni civili;N;2.0
5023001;D6AB;A061;AFFI;B;B1;VR00000396;5;Negozi;NORMALE;P;1200;1800;nan;nan;nan;2023_2;5023001;D6AB;A061;AFFI;B;'CAPOLUOGO. FRAZIONI E COMPARTO LIMITROFO EDIFICATO';B1;20;Abitazioni civili;N;2.0
5023001;D6AB;A061;AFFI;B;B1;VR00000396;6;Uffici;NORMALE;P;990;1300;nan;nan;nan;2023_2;5023001;D6AB;A061;AFFI;B;'CAPOLUOGO. FRAZIONI E COMPARTO LIMITROFO EDIFICATO';B1;20;Abitazioni civili;N;2.0
5023001;D6AB;A061;AFFI;B;B1;VR00000396;7;Capannoni tipici;OTTIMO;P;500;700;2.3;3.5;L;2023_2;5023001;D6AB;A061;AFFI;B;'CAPOLUOGO. FRAZIONI E COMPARTO LIMITROFO EDIFICATO';B1;20;Abitazioni civili;N;2.0
5023002;D6AC;A137;ALBAREDO D`ADIGE;B;B1;VR00000028;20;Abitazioni civili;NORMALE;P;570;850;nan;nan;nan;2023_2;5023002;D6AC;A137;ALBAREDO D`ADIGE;B;'CENTRO CAPOLUOGO E PRINCIPALI AGGLOMERATI EDIFICATI DEL TERRITORIO COMUNALE';B1;20;Abitazioni civili;N;1.0
5023002;D6AC;A137;ALBAREDO D`ADIGE;B;B1;VR00000028;1;Ville e Villini;NORMALE;P;870;1100;nan;nan;nan;2023_2;5023002;D6AC;A137;ALBAREDO D`ADIGE;B;'CENTRO CAPOLUOGO E PRINCIPALI AGGLOMERATI EDIFICATI DEL TERRITORIO COMUNALE';B1;20;Abitazioni civili;N;1.0
5023002;D6AC;A137;ALBAREDO D`ADIGE;B;B1;VR00000028;5;Negozi;NORMALE;P;1000;1300;nan;nan;nan;2023_2;5023002;D6AC;A137;ALBAREDO D`ADIGE;B;'CENTRO CAPOLUOGO E PRINCIPALI AGGLOMERATI EDIFICATI DEL TERRITORIO COMUNALE';B1;20;Abitazioni civili;N;1.0
5023002;D6AC;A137;ALBAREDO D`ADIGE;B;B1;VR00000028;6;Uffici;NORMALE;P;650;920;nan;nan;nan;2023_2;5023002;D6AC;A137;ALBAREDO D`ADIGE;B;'CENTRO CAPOLUOGO E PRINCIPALI AGGLOMERATI EDIFICATI DEL TERRITORIO COMUNALE';B1;20;Abitazioni civili;N;1.0
5023002;D6AC;A137;ALBAREDO D`ADIGE;B;B1;VR00000028;7;Capannoni tipici;OTTIMO;P;370;465;1.8;2.4;L;2023_2;5023002;D6AC;A137;ALBAREDO D`ADIGE;B;'CENTRO CAPOLUOGO E PRINCIPALI AGGLOMERATI EDIFICATI DEL TERRITORIO COMUNALE';B1;20;Abitazioni civili;N;1.0
